"Organization - Name","Organization - Labels","Organization - Address","Organization - People","Organization - Closed deals","Organization - Open deals","Organization - Next activity date","Organization - Owner","Organization - Won deals"
"Aquis Systems SRL","CUSTOMER","Timis, Romania","1","0","1","2025-09-30","Alexandru Udrea","0"
"TBT Consulting","CUSTOMER","Timis, Romania","1","1","0","","Alexandru Udrea","0"
"Mitsubishi Electric Europe B.V.","CUSTOMER","Timiș, Romania","1","0","0","","Alexandru Udrea","0"
"Gelco Prod","CUSTOMER","Timisoara","1","0","0","","Alexandru Udrea","0"
"Politechnica Timisoara","CUSTOMER","Timisoara","1","0","0","","Alexandru Udrea","0"
"Kathrein Group","CUSTOMER","Timisoara","1","0","0","","Alexandru Udrea","0"
"Lineo Engineering","CUSTOMER","Timisoara","1","0","0","","Alexandru Udrea","0"
"Pierburg GmbH","CUSTOMER","Timisoara","1","0","0","","Alexandru Udrea","0"
"SICK","CUSTOMER","Timisoara","1","0","0","","Alexandru Udrea","0"
"ZF Friedrichshafen","CUSTOMER","Timisoara","1","0","0","","Alexandru Udrea","0"
"Duqueine Romania","","Timisoara","1","0","0","","Alexandru Udrea","0"
"Tehnical Die-Casting SRL","","Timisoara","1","0","0","","Alexandru Udrea","0"
"SC EEE SA","","Timisoara","1","0","0","","Alexandru Udrea","0"
"Electric Decovest","CUSTOMER","Timisoara, Romania","1","0","0","","Alexandru Udrea","0"
"eta-2u","CUSTOMER","Timisoara, Romania","1","0","0","","Alexandru Udrea","0"
"Flex LTD","CUSTOMER","Timișoara, Romania","33","18","6","2025-11-12","Alexandru Udrea","7"
"Heraeus Romania","CUSTOMER","Timișoara, Romania","4","4","1","2025-09-05","Alexandru Udrea","3"
"Yazaki Component Technology - Timisoara","CUSTOMER","Timișoara, Romania","4","2","0","2024-12-19","Alexandru Udrea","2"
"Swoboda Timisoara","CUSTOMER","Timișoara, Romania","1","2","0","","Alexandru Udrea","0"
"TRW (ZF Automotive)","CUSTOMER","Timișoara, Romania","4","0","1","2025-11-24","Alexandru Udrea","0"
"Micro Precision Romania","CUSTOMER","Timișoara, Romania","1","1","0","","Alexandru Udrea","0"
"Atma Grup","CUSTOMER","Timisoara, Timis, Romania","1","0","0","","Alexandru Udrea","0"
"Autoliv Timisoara","CUSTOMER","Timisoara, Timis, Romania","1","0","0","","Alexandru Udrea","0"
"Professional Translations","CUSTOMER","Timisoara, Timis, Romania","1","0","0","","Alexandru Udrea","0"
"Alfa Test Srl.","CUSTOMER","Timișoara, Timiș, Romania","2","0","0","","Alexandru Udrea","0"
"Bosch Service Solutions","CUSTOMER","Timisoara, Timis, Romania","5","2","1","","Alexandru Udrea","0"
"Blank Barth B2 Smart Precision SRL","CUSTOMER","Timișoara, Timiș, Romania","2","6","0","","Alexandru Udrea","6"
"Universitatea Politehnica Timisoara","CUSTOMER","Timisora, Romania","6","4","1","2026-04-15","Alexandru Udrea","2"
"Radwag Balances and Scale","Vendor","Toruńska 5 Street 26-600 Radom, Poland","2","0","0","","Alexandru Udrea","0"
"Directia de Sanatate Publica Judeteana Tulcea","CUSTOMER","Tulcea, Tulcea, Romania","1","1","0","","Alexandru Udrea","0"
"The Imaging Source Europe GmbH","Vendor","Überseetor 18 D-28217 Bremen Germany","1","0","0","","Alexandru Udrea","0"
"Jabil","CUSTOMER","Ukraine","2","1","0","","Alexandru Udrea","0"
"Testwall","Vendor","ul. Baśniowa 3, 02-349 Warsaw, Poland","1","0","0","","Alexandru Udrea","0"
"Hemmersbach Central Support Sp.z o.o, Sp.k","CUSTOMER","ul. Logistyczna 4 55-040 Bielany Wrocławskie Poland","1","1","0","","Alexandru Udrea","1"
"Edmund Optics Europe","Vendor","Unit 1, Opus Avenue, Nether Poppleton  |  York, YO26 6BL, United Kingdom","1","0","0","","Alexandru Udrea","0"
"TE connectivity Center Timisoara","CUSTOMER","United Business Center 2, Strada Aristide Demetriade 1, Timișoara 300088","4","2","0","","Alexandru Udrea","0"
"Institutul National pentru Criogenie","CUSTOMER","Vâlcea, Romania","1","0","0","","Alexandru Udrea","0"
"IDT Bulgaria EOOD","CUSTOMER","Varna, Landmark Center, Bulgaria","1","0","0","","Alexandru Udrea","0"
"HELBAKO ELECTRONICA SRL","CUSTOMER","VGP Park Timisoara Calea Aviatorilor 4, Unit 8/B2 307 200 Comuna Ghiroda, Judet Timis  Romania","1","1","0","","Alexandru Udrea","0"
"Devco","Vendor","Via Marzabotto, 59, 20037 Paderno Dugnano, MI, Italy","3","0","0","","Alexandru Udrea","0"
"LASIT S.p.A.","Vendor","Via Solferino, 4, 80058 Torre Annunziata, NA, Italy","4","0","0","","Alexandru Udrea","0"
"BLB Industries AB","Vendor","Vitarörsvägen 6, 331 53 Värnamo, Sweden","1","0","0","","Alexandru Udrea","0"
"ARTRA","Vendor","Víťazná 394/44, 958 04 Partizánske-Veľké Bielice, Slovakia","1","0","0","","Alexandru Udrea","0"
"Ramsay Rubber & Plastics Ltd","","Vulcan Road, Bilston, West Midlands WV14 7HT, United Kingdom","1","0","0","","Alexandru Udrea","0"
"HS Timber Prod Reci","CUSTOMER","VW3V+X7 Moacșa, Romania","1","0","0","","Alexandru Udrea","0"
"Haimer GmbH","Vendor","Weiherstr. 21  | 86568 Igenhausen  | Deutschland","2","0","0","","Alexandru Udrea","0"
"Distrelec","CUSTOMER","Wien","1","0","0","","Alexandru Udrea","0"
"ATMAT","Vendor","Władysława Siwka 17, 31-588 Kraków, Poland","1","0","0","","Alexandru Udrea","0"
"Sepadin","Vendor","www.sepadin.ro","1","0","0","","Alexandru Udrea","0"
"Taiyu Gloves CO.,Limited","","Yin'er Road, Yiner Road, Yiwu, Jinhua, Zhejiang, China","1","0","0","","Alexandru Udrea","0"
"Diafir S.R.L","CUSTOMER","Zalau, Salaj, Romania","1","0","0","","Alexandru Udrea","0"
"Tenaris Silcotub","CUSTOMER","Zalau, Salaj, Romania","7","3","0","","Alexandru Udrea","0"
"Planolith Gmbh","Vendor","Zeppelinstraße 7, 63741 Aschaffenburg, Germany","2","0","0","","Alexandru Udrea","0"
"DyneHill GmbH","Vendor","Zum Obsthof 13 D-75177 Pforzheim","1","0","0","","Alexandru Udrea","0"
